"Title:","Dow Jones Industrial Average (US) - High from the Dow Jones Industrial Average (US) Database"
"SubTitle:","International"
"Time:","01/02/1980 - 11/11/2022"
"Unit of Measure:","$"
"Citation:","S&P Dow Jones Indices (US) (2022-11-14). Dow Jones Industrial Average (US): Dow Jones Industrial Average (US) - High, 01/02/1980 - 11/11/2022. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  039-001-002 doi:https://doi.org/10.6068/DP184779A1F7630"
"ColumnCount:",2
"RowCount:",10797

"Time","Dow Jones Industrial Average (US) - High ($)"
"12/27/1983",1267.28
"12/28/1983",1268.91
"12/29/1983",1273.88
"12/30/1983",1265.23
"01/03/1984",1264.13
"01/04/1984",1271.36
"01/05/1984",1290.72
"01/06/1984",1293.66
"01/09/1984",1295.33
"01/10/1984",1295.44
"01/11/1984",1284.13
"01/12/1984",1287.91
"01/13/1984",1289.56
"01/16/1984",1275.95
"01/17/1984",1275.75
"01/18/1984",1280.36
"01/19/1984",1276.17
"01/20/1984",1270.94
"01/23/1984",1259.42
"01/24/1984",1251.56
"01/25/1984",1255.44
"01/26/1984",1242.56
"01/27/1984",1238.69
"01/30/1984",1239.64
"01/31/1984",1231.69
"02/01/1984",1226.34
"02/02/1984",1223.94
"02/03/1984",1226.55
"02/06/1984",1193.16
